filename:,for_count,for_with_cond_count,nested_for_count,while_count,while_with_cond_count,stmts_inside_loop,total_stmts
quantlib-master/QuantLibAddin/Clients/CppInstrumentIn/instrument_in.cpp,2,0,0,0,0,2,31
quantlib-master/QuantLibAddin/Clients/Cpp/qlademo.cpp,0,0,0,0,0,0,47
quantlib-master/QuantLibAddin/Clients/CppSwapOut/swap_out.cpp,0,0,0,0,0,0,65
quantlib-master/QuantLibAddin/qlo/optimization.cpp,0,0,0,0,0,0,9
quantlib-master/QuantLibAddin/qlo/statistics.cpp,0,0,0,0,0,0,17
quantlib-master/QuantLibAddin/qlo/utilities.cpp,0,0,0,0,0,0,7
quantlib-master/QuantLibAddin/qlo/stickyratchet.cpp,0,0,0,0,0,0,10
quantlib-master/QuantLibAddin/qlo/yieldtermstructures.cpp,0,0,0,0,0,0,165
quantlib-master/QuantLibAddin/qlo/driftcalculators.cpp,0,0,0,0,0,0,23
quantlib-master/QuantLibAddin/qlo/basketlossmodels.cpp,17,0,0,0,0,17,82
quantlib-master/QuantLibAddin/qlo/capfloor.cpp,0,0,0,0,0,0,13
quantlib-master/QuantLibAddin/qlo/cmsmarketcalibration.cpp,0,0,0,0,0,0,16
quantlib-master/QuantLibAddin/qlo/rangeaccrual.cpp,0,0,0,0,0,0,10
quantlib-master/QuantLibAddin/qlo/swaptionvolstructure.cpp,2,0,2,0,0,11,66
quantlib-master/QuantLibAddin/qlo/alphaform.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/volatility.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/schedule.cpp,0,0,0,0,0,0,6
quantlib-master/QuantLibAddin/qlo/btp.cpp,0,0,0,0,0,0,30
quantlib-master/QuantLibAddin/qlo/conundrumpricer.cpp,0,0,0,0,0,0,9
quantlib-master/QuantLibAddin/qlo/extrapolator.cpp,0,0,0,0,0,0,6
quantlib-master/QuantLibAddin/qlo/vanillaswap.cpp,0,0,0,0,0,0,19
quantlib-master/QuantLibAddin/qlo/bonds.cpp,5,2,0,0,0,13,121
quantlib-master/QuantLibAddin/qlo/processes.cpp,0,0,0,0,0,0,8
quantlib-master/QuantLibAddin/qlo/smilesection.cpp,3,0,0,0,0,3,21
quantlib-master/QuantLibAddin/qlo/couponvectors.cpp,1,0,0,4,4,9,104
quantlib-master/QuantLibAddin/qlo/latentmodels.cpp,0,0,0,0,0,0,9
quantlib-master/QuantLibAddin/qlo/defaultbasket.cpp,1,0,0,0,0,1,8
quantlib-master/QuantLibAddin/qlo/timeseries.cpp,1,1,0,0,0,2,18
quantlib-master/QuantLibAddin/qlo/forwardrateagreement.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/capletvolstructure.cpp,0,0,0,0,0,0,18
quantlib-master/QuantLibAddin/qlo/asianoption.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/browniangenerators.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/cdsoption.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/leg.cpp,3,1,0,0,0,8,45
quantlib-master/QuantLibAddin/qlo/cliquetoption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/symmetricschurdecomposition.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/quantoforwardvanillaoption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/swaption.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/vanillaoption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/interpolation2D.cpp,0,0,0,0,0,0,9
quantlib-master/QuantLibAddin/qlo/defaulttermstructures.cpp,0,0,0,0,0,0,29
quantlib-master/QuantLibAddin/qlo/volatilities.cpp,0,0,0,0,0,0,9
quantlib-master/QuantLibAddin/qlo/barrieroption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/date.cpp,4,0,0,0,0,4,44
quantlib-master/QuantLibAddin/qlo/credit.cpp,0,0,0,0,0,0,46
quantlib-master/QuantLibAddin/qlo/sequencestatistics.cpp,4,0,0,0,0,4,13
quantlib-master/QuantLibAddin/qlo/exercise.cpp,0,0,0,0,0,0,6
quantlib-master/QuantLibAddin/qlo/settings.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/piecewiseyieldcurve.cpp,1,0,0,0,0,1,92
quantlib-master/QuantLibAddin/qlo/baseinstruments.cpp,0,0,0,0,0,0,10
quantlib-master/QuantLibAddin/qlo/creditdefaultswap.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/payoffs.cpp,0,0,0,0,0,0,6
quantlib-master/QuantLibAddin/qlo/assetswap.cpp,0,0,0,0,0,0,11
quantlib-master/QuantLibAddin/qlo/marketmodelevolvers.cpp,0,0,0,0,0,0,6
quantlib-master/QuantLibAddin/qlo/quotes.cpp,2,0,1,0,0,7,46
quantlib-master/QuantLibAddin/qlo/quantovanillaoption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/products.cpp,0,0,0,0,0,0,12
quantlib-master/QuantLibAddin/qlo/overnightindexedswap.cpp,0,0,0,0,0,0,19
quantlib-master/QuantLibAddin/qlo/marketmodels.cpp,0,0,0,0,0,0,16
quantlib-master/QuantLibAddin/qlo/ratehelpers.cpp,3,2,0,2,1,40,133
quantlib-master/QuantLibAddin/qlo/dividendvanillaoption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/shortratemodels.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/accountingengines.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/ctsmmcapletcalibration.cpp,0,0,0,0,0,0,6
quantlib-master/QuantLibAddin/qlo/randomsequencegenerator.cpp,1,0,0,0,0,1,10
quantlib-master/QuantLibAddin/qlo/evolutiondescription.cpp,0,0,0,0,0,0,7
quantlib-master/QuantLibAddin/qlo/interpolation.cpp,3,1,0,0,0,7,55
quantlib-master/QuantLibAddin/qlo/cmsmarket.cpp,1,0,0,0,0,2,31
quantlib-master/QuantLibAddin/qlo/getcovariance.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/curvestate.cpp,0,0,0,0,0,0,25
quantlib-master/QuantLibAddin/qlo/flowanalysis.cpp,1,1,0,0,0,1,96
quantlib-master/QuantLibAddin/qlo/swap.cpp,1,0,0,0,0,2,15
quantlib-master/QuantLibAddin/qlo/forwardvanillaoption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/correlation.cpp,0,0,0,0,0,0,11
quantlib-master/QuantLibAddin/qlo/pricingengines.cpp,0,0,0,0,0,0,16
quantlib-master/QuantLibAddin/qlo/europeanoption.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/abcd.cpp,0,0,0,0,0,0,5
quantlib-master/QuantLibAddin/qlo/index.cpp,1,1,0,0,0,2,19
quantlib-master/QuantLibAddin/qlo/indexes/swapindex.cpp,0,0,0,0,0,0,10
quantlib-master/QuantLibAddin/qlo/indexes/bmaindex.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/indexes/iborindex.cpp,0,0,0,0,0,0,6
quantlib-master/QuantLibAddin/qlo/indexes/ibor/libor.cpp,0,0,0,0,0,0,53
quantlib-master/QuantLibAddin/qlo/indexes/ibor/euribor.cpp,0,0,0,0,0,0,16
quantlib-master/QuantLibAddin/qlo/indexes/swap/euriborswap.cpp,0,0,0,0,0,0,10
quantlib-master/QuantLibAddin/qlo/indexes/swap/isdafixaswap.cpp,0,0,0,0,0,0,4
quantlib-master/QuantLibAddin/qlo/indexes/swap/liborswap.cpp,0,0,0,0,0,0,32
quantlib-master/QuantLibAddin/qlo/enumerations/register/register_all.cpp,0,0,0,0,0,0,8
quantlib-master/QuantLibAddin/qlo/enumerations/constructors/enumeratedclasses.cpp,0,0,0,0,0,0,67
quantlib-master/QuantLibAddin/qlo/enumerations/constructors/enumeratedpairs.cpp,0,0,0,0,0,0,63
quantlib-master/QuantLibAddin/qlo/enumerations/factories/calendarfactory.cpp,0,0,0,1,0,3,56
quantlib-master/QuantLibAddin/qlo/serialization/processor.cpp,2,0,0,0,0,2,36
quantlib-master/QuantLibAddin/qlo/serialization/serializationfactory.cpp,0,0,0,0,0,0,17
quantlib-master/QuantLibAddin/qlo/serialization/register/serialization_oh.cpp,0,0,0,0,0,0,10
quantlib-master/QuantLibAddin/qlo/conversions/conversions.cpp,5,0,1,0,0,9,47
quantlib-master/QuantLibAddin/Addins/Guile/extra.cpp,0,0,0,0,0,0,24
quantlib-master/QuantLibAddin/Addins/Guile/conversions.cpp,0,0,0,0,0,0,3
quantlib-master/QuantLibAddin/Addins/Guile/guileutils.cpp,3,0,0,0,0,4,23
quantlib-master/QuantLibAddin/Addins/Guile/session.cpp,0,0,0,0,0,0,3
quantlib-master/QuantLibAddin/Addins/Calc_old/manual.cpp,0,0,0,0,0,0,19
quantlib-master/QuantLibAddin/Addins/Calc_old/init.cpp,0,0,0,0,0,0,8
quantlib-master/QuantLibAddin/Addins/Calc_old/conversions.cpp,6,0,3,0,0,19,55
