filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
fs/bad_inode.c 0 0 0 0 0 0 0 0 0 0 0 0 32
fs/buffer.c 11 8 0 7 0 0 37 7 0 0 0 110 1196
fs/block_dev.c 0 0 0 0 0 0 3 1 0 0 0 6 620
fs/stack.c 0 0 0 0 0 0 0 0 0 0 0 0 23
fs/exec.c 3 2 0 0 1 0 4 2 0 0 0 60 649
fs/binfmt_flat.c 6 3 0 2 0 0 5 1 0 0 0 39 339
fs/pnode.c 3 3 0 0 2 0 6 2 0 0 2 32 144
fs/namespace.c 12 4 0 0 5 0 15 6 0 0 2 93 1212
fs/binfmt_misc.c 3 0 0 0 0 0 3 1 1 0 0 20 331
fs/libfs.c 2 2 0 0 1 0 1 1 0 0 0 31 422
fs/pipe.c 3 3 0 0 0 0 2 1 0 0 0 82 423
fs/proc_namespace.c 2 2 0 0 0 0 0 0 0 0 0 2 143
fs/direct-io.c 1 0 0 0 0 0 5 2 0 0 0 74 410
fs/binfmt_elf_fdpic.c 0 0 0 0 0 0 1 1 1 1 1 751 754
fs/anon_inodes.c 0 0 0 0 0 0 0 0 0 0 0 0 49
fs/binfmt_script.c 2 0 0 0 0 0 2 1 0 0 0 5 49
fs/fs_pin.c 0 0 0 0 0 0 3 3 0 0 0 21 50
fs/nsfs.c 0 0 0 0 0 0 0 0 0 0 0 0 73
fs/binfmt_aout.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/posix_acl.c 4 2 3 1 0 0 0 0 0 0 0 28 362
fs/no-block.c 0 0 0 0 0 0 0 0 0 0 0 0 4
fs/eventpoll.c 6 4 0 0 1 0 4 1 0 0 0 40 610
fs/super.c 3 0 0 1 0 0 2 1 0 0 1 10 488
fs/compat_binfmt_elf.c 0 0 0 0 0 0 0 0 0 0 0 0 4
fs/locks.c 4 4 0 0 0 0 4 3 0 0 0 43 888
fs/compat_ioctl.c 3 3 0 3 0 0 2 0 0 0 0 9 381
fs/statfs.c 0 0 0 0 0 0 0 0 0 0 0 0 111
fs/utimes.c 0 0 0 0 0 0 0 0 0 0 0 0 69
fs/xattr.c 0 0 0 0 0 0 1 0 0 0 0 2 343
fs/compat.c 2 2 0 0 0 0 2 2 0 0 0 26 588
fs/dcookies.c 1 0 0 0 0 0 2 0 0 0 0 4 132
fs/dax.c 0 0 0 0 0 0 3 2 0 0 0 39 211
fs/dcache.c 8 5 0 0 1 0 13 5 1 1 0 110 1104
