filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
/3rdparty/libjpeg/jquant1.c 14 4 0 9 0 9 2 0 0 0 0 126 297
/3rdparty/libjpeg/jdapimin.c 2 0 0 1 0 0 1 1 0 0 0 4 111
/3rdparty/libjpeg/jdpostct.c 0 0 0 0 0 0 0 0 0 0 0 0 70
/3rdparty/libjpeg/jdsample.c 1 0 0 0 0 0 2 1 0 0 0 24 107
/3rdparty/libjpeg/jquant2.c 24 16 0 7 0 13 1 1 1 0 0 240 480
/3rdparty/libjpeg/jfdctflt.c 2 0 0 1 0 0 0 0 0 0 0 63 71
/3rdparty/libjpeg/jcapistd.c 0 0 0 0 0 0 0 0 0 0 0 0 35
/3rdparty/libjpeg/jdmainct.c 5 0 0 3 0 0 0 0 0 0 0 9 131
/3rdparty/libjpeg/jdcolor.c 3 0 0 1 0 0 8 0 0 8 0 94 221
/3rdparty/libjpeg/jdmerge.c 3 0 0 1 0 0 0 0 0 0 0 44 160
/3rdparty/libjpeg/jcmaster.c 9 5 0 1 0 1 0 0 0 0 0 52 305
/3rdparty/libjpeg/jmemansi.c 0 0 0 0 0 0 0 0 0 0 0 0 22
/3rdparty/libjpeg/jdinput.c 3 3 1 0 0 0 0 0 0 0 0 36 257
/3rdparty/libjpeg/jidctint.c 56 0 0 30 6 0 0 0 0 0 0 2195 2630
/3rdparty/libjpeg/jcdctmgr.c 6 1 0 6 0 3 0 0 0 0 0 29 189
/3rdparty/libjpeg/jdmarker.c 8 5 2 3 0 2 5 3 1 2 0 170 508
/3rdparty/libjpeg/jccoefct.c 6 2 0 1 0 4 0 0 0 0 0 36 148
/3rdparty/libjpeg/jchuff.c 21 13 0 12 0 2 8 3 0 1 0 184 513
/3rdparty/libjpeg/jdarith.c 10 8 0 4 0 2 6 2 0 0 0 129 276
/3rdparty/libjpeg/jctrans.c 5 2 0 1 0 1 0 0 0 0 0 20 124
/3rdparty/libjpeg/jdatadst.c 0 0 0 0 0 0 0 0 0 0 0 0 69
/3rdparty/libjpeg/jutils.c 3 0 0 0 0 1 0 0 0 0 0 7 32
/3rdparty/libjpeg/jdatasrc.c 0 0 0 0 0 0 1 0 0 0 0 2 55
/3rdparty/libjpeg/jerror.c 0 0 0 0 0 0 1 1 0 0 0 2 47
/3rdparty/libjpeg/jddctmgr.c 3 0 0 3 0 1 0 0 0 0 0 5 156
/3rdparty/libjpeg/jccolor.c 1 0 0 0 0 0 7 0 0 7 0 83 183
/3rdparty/libjpeg/jcapimin.c 4 2 0 4 0 0 2 1 0 0 0 17 65
/3rdparty/libjpeg/jcparam.c 6 1 0 3 0 0 0 0 0 0 0 18 188
/3rdparty/libjpeg/jdapistd.c 1 1 0 0 0 0 1 1 0 0 0 18 67
/3rdparty/libjpeg/jcinit.c 0 0 0 0 0 0 0 0 0 0 0 0 12
/3rdparty/libjpeg/jmemmgr.c 11 9 0 2 0 0 7 1 0 0 0 80 363
/3rdparty/libjpeg/jcmarker.c 13 7 0 8 1 0 0 0 0 0 0 28 197
/3rdparty/libjpeg/jdhuff.c 17 12 1 11 5 4 7 2 0 1 1 212 501
/3rdparty/libjpeg/jcmainct.c 0 0 0 0 0 0 2 2 0 0 0 26 70
/3rdparty/libjpeg/jfdctfst.c 2 0 0 1 0 0 0 0 0 0 0 63 73
/3rdparty/libjpeg/jmemnobs.c 0 0 0 0 0 0 0 0 0 0 0 0 10
/3rdparty/libjpeg/jdmaster.c 2 0 0 0 0 0 0 0 0 0 0 2 149
/3rdparty/libjpeg/jcomapi.c 1 0 0 0 0 0 0 0 0 0 0 1 17
/3rdparty/libjpeg/jdcoefct.c 7 3 0 2 0 4 0 0 0 0 0 89 270
/3rdparty/libjpeg/jcsample.c 3 0 0 1 0 3 3 0 0 2 0 82 182
/3rdparty/libjpeg/jcarith.c 9 7 0 1 0 3 12 0 0 0 0 150 341
/3rdparty/libjpeg/jidctfst.c 2 0 0 1 0 0 0 0 0 0 0 93 112
/3rdparty/libjpeg/jaricom.c 0 0 0 0 0 0 0 0 0 0 0 0 1
/3rdparty/libjpeg/jfdctint.c 56 12 0 30 6 0 0 0 0 0 0 1600 1928
/3rdparty/libjpeg/jidctflt.c 2 0 0 1 0 0 0 0 0 0 0 83 98
/3rdparty/libjpeg/jcprepct.c 3 0 0 1 0 0 1 1 0 0 0 25 89
/3rdparty/libjpeg/jdtrans.c 1 1 0 0 0 0 0 0 0 0 0 7 29
/3rdparty/libtiff/tif_swab.c 1 0 0 1 0 0 7 0 0 6 0 36 84
/3rdparty/libtiff/tif_win32.c 1 1 0 1 0 0 2 2 0 0 2 16 168
/3rdparty/libtiff/tif_thunder.c 0 0 0 0 0 0 2 2 1 1 0 23 58
/3rdparty/libtiff/tif_tile.c 0 0 0 0 0 0 0 0 0 0 0 0 92
/3rdparty/libtiff/tif_next.c 2 1 1 1 0 1 0 0 0 0 0 26 51
/3rdparty/libtiff/tif_jpeg.c 6 1 0 4 0 1 5 3 1 3 1 103 763
/3rdparty/libtiff/tif_dirread.c 94 74 3 1 3 1 5 5 0 0 0 402 2454
/3rdparty/libtiff/tif_zip.c 0 0 0 0 0 0 3 0 0 0 0 0 167
/3rdparty/libtiff/tif_dirwrite.c 29 10 0 2 2 0 7 7 1 2 1 297 1113
/3rdparty/libtiff/tif_luv.c 9 7 0 5 0 6 19 3 0 5 1 176 660
/3rdparty/libtiff/tif_read.c 0 0 0 0 0 0 0 0 0 0 0 0 325
/3rdparty/libtiff/tif_color.c 5 0 0 4 0 0 0 0 0 0 0 11 87
/3rdparty/libtiff/tif_predict.c 1 1 1 1 0 1 0 0 0 0 0 252 328
/3rdparty/libtiff/tif_jbig.c 0 0 0 0 0 0 1 1 0 0 0 9 49
/3rdparty/libtiff/tif_fax3sm.c 0 0 0 0 0 0 0 0 0 0 0 0 3
/3rdparty/libtiff/tif_open.c 1 1 0 0 0 0 0 0 0 0 0 22 185
/3rdparty/libtiff/tif_dirinfo.c 5 1 0 4 0 0 0 0 0 0 0 22 232
/3rdparty/libtiff/tif_packbits.c 0 0 0 0 0 0 3 3 1 0 0 68 115
/3rdparty/libtiff/tif_fax3.c 5 4 0 1 0 1 14 9 0 0 3 210 639
/3rdparty/libtiff/tif_aux.c 2 0 0 1 0 0 0 0 0 0 0 4 137
/3rdparty/libtiff/tif_getimage.c 24 4 2 6 3 4 40 3 2 14 0 460 1196
/3rdparty/libtiff/tif_flush.c 0 0 0 0 0 0 0 0 0 0 0 0 15
/3rdparty/libtiff/tif_lzw.c 1 0 0 0 0 0 11 3 0 3 0 142 479
/3rdparty/libtiff/tif_dumpmode.c 0 0 0 0 0 0 1 1 0 0 0 10 36
/3rdparty/libtiff/tif_unix.c 0 0 0 0 0 0 0 0 0 0 0 0 80
/3rdparty/libtiff/tif_write.c 0 0 0 0 0 0 0 0 0 0 0 0 213
/3rdparty/libtiff/tif_version.c 0 0 0 0 0 0 0 0 0 0 0 0 2
/3rdparty/libtiff/tif_error.c 0 0 0 0 0 0 0 0 0 0 0 0 17
/3rdparty/libtiff/tif_extension.c 0 0 0 0 0 0 2 0 0 0 0 2 22
/3rdparty/libtiff/tif_jpeg_12.c 0 0 0 0 0 0 0 0 0 0 0 0 26
/3rdparty/libtiff/tif_codec.c 0 0 0 0 0 0 0 0 0 0 0 0 19
/3rdparty/libtiff/tif_strip.c 0 0 0 0 0 0 0 0 0 0 0 0 126
/3rdparty/libtiff/tif_ojpeg.c 21 6 0 4 6 4 12 3 0 0 3 134 1154
/3rdparty/libtiff/tif_close.c 2 1 0 2 0 0 1 0 0 0 0 8 24
/3rdparty/libtiff/tif_lzma.c 0 0 0 0 0 0 3 0 0 0 0 0 189
/3rdparty/libtiff/tif_pixarlog.c 0 0 0 0 0 0 1 1 1 1 1 674 676
/3rdparty/libtiff/tif_print.c 12 3 1 3 0 2 0 0 0 0 0 75 255
/3rdparty/libtiff/tif_warning.c 0 0 0 0 0 0 0 0 0 0 0 0 17
/3rdparty/libtiff/tif_compress.c 5 2 0 0 0 0 0 0 0 0 0 17 101
/3rdparty/libtiff/tif_dir.c 12 7 1 3 0 1 2 0 0 0 0 68 687
/3rdparty/tbb/arm_linux_stub.cpp 0 0 0 0 0 0 0 0 0 0 0 0 0
/3rdparty/libwebp/cpu-features/cpu-features.c 3 3 0 0 0 0 5 4 0 1 0 53 229
/3rdparty/libwebp/utils/huffman_encode.c 8 5 0 7 0 3 4 3 0 1 0 107 179
/3rdparty/libwebp/utils/quant_levels.c 5 2 0 5 0 1 0 0 0 0 0 25 48
/3rdparty/libwebp/utils/huffman.c 7 5 0 1 0 0 1 1 0 0 0 16 88
/3rdparty/libwebp/utils/bit_reader.c 1 0 0 0 0 0 2 0 0 0 0 7 63
/3rdparty/libwebp/utils/filters.c 7 2 0 3 0 3 0 0 0 0 0 36 71
/3rdparty/libwebp/utils/quant_levels_dec.c 0 0 0 0 0 0 0 0 0 0 0 0 5
/3rdparty/libwebp/utils/utils.c 0 0 0 0 0 0 0 0 0 0 0 0 11
/3rdparty/libwebp/utils/rescaler.c 4 1 0 0 0 1 2 0 0 0 0 28 67
/3rdparty/libwebp/utils/bit_writer.c 2 0 0 0 0 0 0 0 0 0 0 1 122
/3rdparty/libwebp/utils/color_cache.c 0 0 0 0 0 0 0 0 0 0 0 0 9
/3rdparty/libwebp/utils/thread.c 0 0 0 0 0 0 2 1 0 0 0 8 79
/3rdparty/libwebp/enc/backward_references.c 12 8 0 8 1 4 3 0 0 0 0 122 390
/3rdparty/libwebp/enc/alpha.c 3 1 0 3 0 2 1 0 0 0 0 12 170
/3rdparty/libwebp/enc/iterator.c 13 1 0 2 0 0 1 0 0 0 0 24 174
/3rdparty/libwebp/enc/histogram.c 24 4 0 11 1 2 0 0 0 0 0 66 207
/3rdparty/libwebp/enc/syntax.c 7 3 0 0 0 0 0 0 0 0 0 15 165
/3rdparty/libwebp/enc/vp8l.c 25 12 1 23 1 6 2 2 0 1 0 133 537
/3rdparty/libwebp/enc/filter.c 17 4 0 1 0 6 1 1 0 0 0 47 171
/3rdparty/libwebp/enc/quant.c 25 8 0 12 0 4 4 0 0 0 0 168 433
/3rdparty/libwebp/enc/tree.c 2 1 0 2 0 2 1 0 0 0 0 12 42
/3rdparty/libwebp/enc/cost.c 2 1 0 2 0 1 0 0 0 0 0 12 26
/3rdparty/libwebp/enc/frame.c 18 4 0 3 0 10 6 3 0 3 2 148 452
/3rdparty/libwebp/enc/picture.c 17 7 0 6 1 12 3 1 0 1 0 85 465
/3rdparty/libwebp/enc/analysis.c 11 7 0 6 0 3 2 0 0 0 0 85 182
/3rdparty/libwebp/enc/config.c 0 0 0 0 0 0 0 0 0 0 0 0 71
/3rdparty/libwebp/enc/layer.c 0 0 0 0 0 0 0 0 0 0 0 0 9
/3rdparty/libwebp/enc/token.c 0 0 0 0 0 0 4 3 0 1 0 56 100
/3rdparty/libwebp/enc/webpenc.c 4 0 0 3 0 1 0 0 0 0 0 7 164
/3rdparty/libwebp/dec/buffer.c 0 0 0 0 0 0 0 0 0 0 0 0 91
/3rdparty/libwebp/dec/io.c 9 0 0 2 0 2 6 0 0 2 1 77 310
/3rdparty/libwebp/dec/alpha.c 0 0 0 0 0 0 0 0 0 0 0 0 30
/3rdparty/libwebp/dec/vp8l.c 11 3 0 7 0 2 11 2 0 1 0 116 568
/3rdparty/libwebp/dec/webp.c 0 0 0 0 0 0 1 1 0 0 0 17 273
/3rdparty/libwebp/dec/quant.c 1 1 0 0 0 0 0 0 0 0 0 14 26
/3rdparty/libwebp/dec/tree.c 5 2 0 3 0 3 0 0 0 0 0 22 58
/3rdparty/libwebp/dec/frame.c 10 3 0 2 0 1 0 0 0 0 0 34 272
/3rdparty/libwebp/dec/vp8.c 11 5 0 4 0 3 0 0 0 0 0 50 322
/3rdparty/libwebp/dec/layer.c 0 0 0 0 0 0 0 0 0 0 0 0 4
/3rdparty/libwebp/dec/idec.c 2 1 0 0 0 1 0 0 0 0 0 14 361
/3rdparty/libwebp/dsp/cpu.c 0 0 0 0 0 0 0 0 0 0 0 0 17
/3rdparty/libwebp/dsp/enc_neon.c 1 0 0 0 0 1 0 0 0 0 0 2 38
/3rdparty/libwebp/dsp/upsampling.c 5 1 0 4 0 0 2 1 0 0 2 50 98
/3rdparty/libwebp/dsp/yuv.c 4 0 0 2 0 0 0 0 0 0 0 14 23
/3rdparty/libwebp/dsp/lossless.c 18 9 0 11 1 9 11 2 0 2 0 248 567
/3rdparty/libwebp/dsp/dec.c 32 2 0 3 0 2 2 2 0 0 0 82 345
/3rdparty/libwebp/dsp/dec_neon.c 2 0 0 0 0 0 0 0 0 0 0 4 23
/3rdparty/libwebp/dsp/upsampling_sse2.c 3 0 0 0 0 0 1 0 0 0 0 14 74
/3rdparty/libwebp/dsp/dec_sse2.c 5 0 0 0 0 0 0 0 0 0 0 28 441
/3rdparty/libwebp/dsp/enc_sse2.c 7 0 0 1 0 2 1 1 0 0 0 75 516
/3rdparty/libwebp/dsp/upsampling_neon.c 3 0 0 0 0 0 2 0 0 0 0 54 126
/3rdparty/libwebp/dsp/enc.c 26 1 0 10 1 5 0 0 0 0 0 141 377
/3rdparty/libwebp/demux/demux.c 8 6 0 0 0 1 3 0 0 0 0 37 449
/3rdparty/libwebp/mux/muxinternal.c 3 3 0 2 0 0 11 5 0 0 0 35 221
