filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
QuantLibAddin/Clients/CppInstrumentIn/instrument_in.cpp 2 0 0 1 0 0 0 0 0 0 0 2 31
QuantLibAddin/Clients/Cpp/qlademo.cpp 0 0 0 0 0 0 0 0 0 0 0 0 47
QuantLibAddin/Clients/C/qlademo.c 0 0 0 0 0 0 0 0 0 0 0 0 44
QuantLibAddin/Clients/CppSwapOut/swap_out.cpp 0 0 0 0 0 0 0 0 0 0 0 0 65
QuantLibAddin/qlo/optimization.cpp 0 0 0 0 0 0 0 0 0 0 0 0 9
QuantLibAddin/qlo/statistics.cpp 0 0 0 0 0 0 0 0 0 0 0 0 17
QuantLibAddin/qlo/utilities.cpp 0 0 0 0 0 0 0 0 0 0 0 0 7
QuantLibAddin/qlo/stickyratchet.cpp 0 0 0 0 0 0 0 0 0 0 0 0 10
QuantLibAddin/qlo/yieldtermstructures.cpp 0 0 0 0 0 0 0 0 0 0 0 0 165
QuantLibAddin/qlo/driftcalculators.cpp 0 0 0 0 0 0 0 0 0 0 0 0 23
QuantLibAddin/qlo/basketlossmodels.cpp 17 0 0 0 0 0 0 0 0 0 0 17 82
QuantLibAddin/qlo/capfloor.cpp 0 0 0 0 0 0 0 0 0 0 0 0 13
QuantLibAddin/qlo/cmsmarketcalibration.cpp 0 0 0 0 0 0 0 0 0 0 0 0 16
QuantLibAddin/qlo/rangeaccrual.cpp 0 0 0 0 0 0 0 0 0 0 0 0 10
QuantLibAddin/qlo/swaptionvolstructure.cpp 2 0 0 2 0 2 0 0 0 0 0 11 66
QuantLibAddin/qlo/alphaform.cpp 0 0 0 0 0 0 0 0 0 0 0 0 5
QuantLibAddin/qlo/volatility.cpp 0 0 0 0 0 0 0 0 0 0 0 0 5
QuantLibAddin/qlo/schedule.cpp 0 0 0 0 0 0 0 0 0 0 0 0 6
QuantLibAddin/qlo/btp.cpp 0 0 0 0 0 0 0 0 0 0 0 0 30
QuantLibAddin/qlo/conundrumpricer.cpp 0 0 0 0 0 0 0 0 0 0 0 0 9
QuantLibAddin/qlo/extrapolator.cpp 0 0 0 0 0 0 0 0 0 0 0 0 6
QuantLibAddin/qlo/vanillaswap.cpp 0 0 0 0 0 0 0 0 0 0 0 0 19
QuantLibAddin/qlo/bonds.cpp 5 2 0 3 0 0 0 0 0 0 0 13 121
QuantLibAddin/qlo/processes.cpp 0 0 0 0 0 0 0 0 0 0 0 0 8
QuantLibAddin/qlo/smilesection.cpp 3 0 0 0 0 0 0 0 0 0 0 3 21
QuantLibAddin/qlo/couponvectors.cpp 1 0 0 0 0 0 4 4 0 0 0 9 104
QuantLibAddin/qlo/latentmodels.cpp 0 0 0 0 0 0 0 0 0 0 0 0 9
